EbNo,BER_ESN,BLER_ESN,BER_DeepESN,BLER_DeepESN,BER_LS,BLER_LS,BER_MMSE,BLER_MMSE,BER_Perfect,BLER_Perfect,NMSE_Train_ESN,NMSE_Train_DeepESN,NMSE_Test_ESN,NMSE_Test_DeepESN,Runtime
2.500000000000000000e+01,2.461328124999999922e-01,1.000000000000000000e+00,2.494335937499999878e-01,1.000000000000000000e+00,5.623046874999999833e-02,1.000000000000000000e+00,4.850781250000000266e-01,1.000000000000000000e+00,5.626953124999999750e-02,1.000000000000000000e+00,2.054221991790005503e-02,1.596531572484000475e-02,1.069566343304023448e+00,1.070147544784474825e+00,7.928829796314239502e+02
3.000000000000000000e+01,1.293164062499999878e-01,1.000000000000000000e+00,1.442578124999999989e-01,1.000000000000000000e+00,5.570312499999999917e-02,1.000000000000000000e+00,4.890429687499999734e-01,1.000000000000000000e+00,5.617187500000000305e-02,1.000000000000000000e+00,2.775035910085482584e-03,2.921843835142283810e-03,2.940485187962674218e-01,3.228460082149560151e-01,7.089523446559906006e+02
